exporter,importer,trade_weight
AGO,PAN,0.0011150642446611163
AGO,PCN,5.48526171479839e-08
AGO,PER,0.0006068245714537953
AGO,PHL,8.30153998049712e-06
AGO,PNG,4.541412247183211e-06
AGO,POL,5.980333940529952e-05
AGO,PRK,1.1888013167304735e-08
AGO,PRT,0.00252817790477418
AGO,PRY,1.2387473692926942e-06
AGO,PSE,1.265976910752193e-07
AGO,PYF,7.662565516326392e-09
AGO,QAT,6.820127067533455e-07
AGO,ROU,1.0305803249822258e-05
AGO,RUS,1.2061242933055993e-05
AGO,RWA,8.147791959339262e-07
AGO,SAU,2.588734893973785e-06
AGO,SDN,2.2835353394565697e-07
AGO,SEN,1.6255954796108306e-05
AGO,SGP,0.0004447690163078626
AGO,SLB,2.6885199009135316e-08
AGO,SLE,3.0468347083973524e-06
AGO,SLV,1.1341086359293979e-05
AGO,SMR,3.723439243488973e-09
AGO,SOM,1.6662138349081754e-07
AGO,SRB,1.9299310747739976e-07
AGO,STP,9.633310642892485e-05
AGO,SUR,6.222633863085534e-08
AGO,SVK,1.1558049852231319e-07
AGO,SVN,3.891654486473647e-07
AGO,SWE,0.00014675478869836006
AGO,SWZ,6.162471687165374e-07
AGO,SYC,8.647813725315733e-05
AGO,SYR,1.8154973237576688e-06
AGO,TCA,5.627665607274645e-08
AGO,TCD,1.1923973618806047e-06
AGO,TGO,3.957711541698547e-05
AGO,THA,0.0007760340959989733
AGO,TKM,1.2233616945325052e-08
AGO,TLS,5.416267091960027e-08
AGO,TTO,2.4845824360030667e-05
AGO,TUN,9.84918169994609e-07
AGO,TUR,2.0850591890543863e-05
AGO,TWN,0.006060333332447965
AGO,TZA,1.931954727140684e-06
AGO,UGA,8.677053453071059e-07
AGO,UKR,3.442877087429953e-07
AGO,URY,0.0005382862327241225
AGO,USA,0.021156394249124612
AGO,UZB,2.951506717399796e-10
AGO,VCT,0.00010298909589645645
AGO,VEN,1.1350949144943794e-06
AGO,VGB,1.9154521799330468e-08
AGO,VNM,6.105611625007006e-05
AGO,VUT,2.4024046237117666e-05
AGO,WSM,1.3728290218880075e-08
AGO,YEM,4.2066538688889144e-08
AGO,ZAF,0.003617899281581789
AGO,ZMB,7.708269150647341e-07
AGO,ZWE,1.9148387763777438e-07
AIA,AGO,1.1300032666713667e-07
AIA,ALB,2.4691119549769098e-08
AIA,AND,2.1213765332162482e-07
AIA,ANT,4.83085969978926e-07
AIA,ARE,1.1233510246083042e-07
AIA,ARG,1.072191574840041e-07
AIA,ARM,2.613291796794233e-07
AIA,ATG,2.3560780769940973e-07
AIA,AUS,2.638232869441366e-07
AIA,AUT,5.8909046892923104e-08
AIA,AZE,4.991776278477094e-06
AIA,BDI,1.1537364078656382e-08
AIA,BEL,4.5895884938120107e-07
AIA,BEN,1.0802325386534702e-08
AIA,BFA,1.2414718370318328e-07
AIA,BGD,4.1971056185253603e-07
AIA,BGR,2.2076261184024863e-07
AIA,BHR,1.5475271068092025e-07
AIA,BIH,2.959445513673006e-07
AIA,BLR,6.335901086684894e-08
AIA,BLZ,2.7874237558187077e-08
AIA,BMU,1.3427241939395256e-06
AIA,BOL,5.679758439509094e-09
AIA,BRA,2.880677233799208e-07
AIA,BRB,1.246966540685092e-07
AIA,BRN,1.1705082817208796e-06
AIA,CAN,7.830491112614557e-07
AIA,CHE,4.278081277445732e-07
AIA,CHL,2.424279114514925e-05
AIA,CIV,4.571051428998658e-09
AIA,CMR,2.993944086419845e-07
AIA,COD,9.043719300750656e-09
AIA,COL,1.1043202931090259e-07
AIA,COM,5.2975761594355303e-11
AIA,CPV,1.4038576822504155e-09
AIA,CRI,1.408391581846608e-07
AIA,CUB,1.1272106872387501e-07
AIA,CZE,1.4403492190809937e-07
AIA,DEU,2.075186209885535e-06
AIA,DMA,6.390012043170558e-08
AIA,DNK,3.8564899062624884e-08
AIA,DOM,2.592339162325005e-07
AIA,ECU,5.991798288576417e-07
AIA,ESP,3.173114567161729e-08
AIA,EST,1.058304357336378e-08
AIA,ETH,1.9335206986196932e-07
AIA,FIN,5.9178340347694415e-09
AIA,FJI,5.3515609831554934e-08
AIA,FRA,8.351936263966509e-07
AIA,GBR,9.967176694935832e-07
AIA,GEO,6.692163083406935e-08
AIA,GHA,1.1158965781553844e-08
AIA,GIN,1.8458268932661796e-08
AIA,GMB,2.1593298824156324e-08
AIA,GRC,7.832969080891583e-07
AIA,GRD,6.501723186755166e-07
AIA,GRL,1.2449303974673499e-09
AIA,GTM,1.2449303974673499e-09
AIA,GUY,3.538272139014608e-07
AIA,HND,2.0233713742666907e-07
AIA,HRV,1.9321017050055584e-08
AIA,HUN,1.0172065182880714e-06
AIA,IDN,1.3117223034939123e-06
AIA,IND,3.140058384420467e-07
AIA,IRL,6.6001035077006e-07
AIA,ISR,4.497624500773567e-07
AIA,ITA,1.1344992205921714e-07
AIA,JAM,3.446669269030749e-07
AIA,JPN,2.0364261155167286e-07
AIA,KAZ,4.1722063799121845e-07
AIA,KEN,3.589297047166123e-08
AIA,KGZ,2.8104398322399694e-07
AIA,KHM,1.384862087735868e-08
AIA,KNA,3.076899946779638e-07
AIA,KOR,4.928657640623738e-07
AIA,KWT,4.3828253046399385e-08
AIA,LAO,9.332437201439892e-08
AIA,LBN,6.474259721175458e-08
AIA,LCA,1.6777930750650445e-06
AIA,LKA,1.4682459364853835e-07
AIA,LTU,9.085721511729038e-08
AIA,LUX,2.723764999443654e-08
AIA,LVA,1.4729423999214222e-08
AIA,MAR,4.120757455446638e-09
AIA,MDA,1.0204456077112691e-08
AIA,MDG,1.368288242322777e-08
AIA,MDV,6.054372753640607e-11
AIA,MEX,7.399086782053895e-07
AIA,MLI,1.1541148061627407e-08
AIA,MLT,2.311071005138424e-05
AIA,MMR,9.762392266522652e-08
AIA,MNG,1.172656322720765e-08
AIA,MOZ,6.133428890173722e-08
AIA,MRT,2.0294446669351865e-07
AIA,MSR,3.207466677508865e-07
AIA,MUS,1.777526000639172e-09
AIA,MWI,6.203436456145865e-07
AIA,MYS,2.0630984654837434e-07
AIA,MYT,6.512234693134678e-09
AIA,NAM,2.175790208339593e-10
AIA,NCL,1.959472515162642e-09
AIA,NER,1.994159025730375e-09
AIA,NGA,3.5295799743710796e-07
AIA,NIC,8.192323132269946e-10
AIA,NLD,1.2710682598397075e-07
AIA,NOR,1.4889972990984866e-09
AIA,NPL,8.727126058841532e-09
AIA,NZL,2.781523107373265e-07
AIA,PAK,4.0551490122413216e-08
AIA,PER,2.0143173350123824e-08
AIA,PHL,2.1287174601800375e-07
AIA,PLW,4.459045533056307e-07
AIA,PNG,3.2575999110953862e-06
AIA,POL,4.00828857805842e-07
AIA,PRT,1.3862527014777203e-07
AIA,PRY,2.0168629235565273e-09
AIA,PYF,4.14043416689597e-09
